STATE NAME,CAS NUMBER,SUBSTANCE,DETECTED
C,C,C,C
,,,false
Louisiana,,,
,,Toluene,
,108-88-3,,
,,Benzene,
,71-43-2,,
,,Ethylbenzene,
,100-41-4,,
,,o-Xylene,
,95-47-6,,
,,m p-Xylene,
,179601-23-1,,
,,Ethylbenzene,false
,100-41-4,,false
,100-41-4,,
,,Ethylbenzene,
,,Ethylbenzene,
,100-41-4,,
,100-41-4,Ethylbenzene,
,,Ethylbenzene,
,100-41-4,,
,,o-Xylene,false
,95-47-6,,false
,95-47-6,,
,,o-Xylene,
,,o-Xylene,
,95-47-6,,
,95-47-6,o-Xylene,
,,o-Xylene,
,95-47-6,,
Louisiana,,Toluene,
Louisiana,108-88-3,,
,108-88-3,,
,,Toluene,
,108-88-3,Toluene,
,,Toluene,
,108-88-3,,
,,Toluene,
,108-88-3,,
Louisiana,,Benzene,
Louisiana,71-43-2,,
Louisiana,,o-Xylene,
Louisiana,95-47-6,,
,71-43-2,,
,,Benzene,
,95-47-6,,
,,o-Xylene,
,71-43-2,Benzene,
,,Benzene,
,71-43-2,,
,,Benzene,
,71-43-2,,
,95-47-6,o-Xylene,
,,o-Xylene,
,95-47-6,,
,,o-Xylene,
,95-47-6,,
Louisiana,,Ethylbenzene,
Louisiana,100-41-4,,
,100-41-4,,
,,Ethylbenzene,
,100-41-4,Ethylbenzene,
,,Ethylbenzene,
,100-41-4,,
,,Ethylbenzene,
,100-41-4,,
Louisiana,,Ethylbenzene,false
Louisiana,100-41-4,,false
Louisiana,100-41-4,,
Louisiana,,Ethylbenzene,
Louisiana,,Ethylbenzene,
Louisiana,100-41-4,,
Louisiana,100-41-4,Ethylbenzene,
Louisiana,,Ethylbenzene,
Louisiana,100-41-4,,
,100-41-4,,false
,,Ethylbenzene,false
,100-41-4,Ethylbenzene,false
,,Ethylbenzene,false
,100-41-4,,false
,,Ethylbenzene,false
,100-41-4,,false
,100-41-4,,
,100-41-4,,
,,Ethylbenzene,
,,Ethylbenzene,
,,Ethylbenzene,
,100-41-4,,
,100-41-4,Ethylbenzene,
,,Ethylbenzene,
,100-41-4,,
,,Ethylbenzene,
,,Ethylbenzene,
,100-41-4,,
,100-41-4,,
,100-41-4,Ethylbenzene,
,,Ethylbenzene,
,100-41-4,,
,,Ethylbenzene,
,100-41-4,,
Louisiana,,o-Xylene,false
Louisiana,95-47-6,,false
Louisiana,95-47-6,,
Louisiana,,o-Xylene,
Louisiana,,o-Xylene,
Louisiana,95-47-6,,
Louisiana,95-47-6,o-Xylene,
Louisiana,,o-Xylene,
Louisiana,95-47-6,,
,95-47-6,,false
,,o-Xylene,false
,95-47-6,o-Xylene,false
,,o-Xylene,false
,95-47-6,,false
,,o-Xylene,false
,95-47-6,,false
,95-47-6,,
,95-47-6,,
,,o-Xylene,
,,o-Xylene,
,,o-Xylene,
,95-47-6,,
,95-47-6,o-Xylene,
,,o-Xylene,
,95-47-6,,
,,o-Xylene,
,,o-Xylene,
,95-47-6,,
,95-47-6,,
,95-47-6,o-Xylene,
,,o-Xylene,
,95-47-6,,
,,o-Xylene,
,95-47-6,,
,,PM2.5,
,EDF-213,,
,,m p-Xylene,false
,179601-23-1,,false
,179601-23-1,,
,,m p-Xylene,
,,m p-Xylene,
,179601-23-1,,
,179601-23-1,m p-Xylene,
,,m p-Xylene,
,179601-23-1,,
,,Benzene,false
,71-43-2,,false
Louisiana,,m p-Xylene,
Louisiana,179601-23-1,,
,179601-23-1,,
,,m p-Xylene,
,179601-23-1,m p-Xylene,
,,m p-Xylene,
,179601-23-1,,
,,m p-Xylene,
,179601-23-1,,
,,PM2.5,true
,EDF-213,,true
,EDF-213,,
,,PM2.5,
,,PM2.5,
,EDF-213,,
,EDF-213,PM2.5,
,,PM2.5,
,EDF-213,,
Louisiana,,PM2.5,
Louisiana,EDF-213,,
,EDF-213,,
,,PM2.5,
,EDF-213,PM2.5,
,,PM2.5,
,EDF-213,,
,,PM2.5,
,EDF-213,,
Louisiana,,PM2.5,true
Louisiana,EDF-213,,true
Louisiana,EDF-213,,
Louisiana,,PM2.5,
Louisiana,,PM2.5,
Louisiana,EDF-213,,
Louisiana,EDF-213,PM2.5,
Louisiana,,PM2.5,
Louisiana,EDF-213,,
,EDF-213,,true
,,PM2.5,true
,EDF-213,PM2.5,true
,,PM2.5,true
,EDF-213,,true
,,PM2.5,true
,EDF-213,,true
,EDF-213,,
,EDF-213,,
,,PM2.5,
,,PM2.5,
,,PM2.5,
,EDF-213,,
,EDF-213,PM2.5,
,,PM2.5,
,EDF-213,,
,,PM2.5,
,,PM2.5,
,EDF-213,,
,EDF-213,,
,EDF-213,PM2.5,
,,PM2.5,
,EDF-213,,
,,PM2.5,
,EDF-213,,
Louisiana,,Benzene,false
Louisiana,71-43-2,,false
,71-43-2,,false
,,Benzene,false
,71-43-2,Benzene,false
,,Benzene,false
,71-43-2,,false
,,Benzene,false
