STATE NAME,CAS NUMBER,SUBSTANCE,DETECTED
C,C,C,C
Louisiana,,,
,,,false
,108-88-3,,
,,Toluene,
,71-43-2,,
,,Benzene,
,100-41-4,,
,,Ethylbenzene,
,95-47-6,,
,,o-Xylene,
,179601-23-1,,
,,m p-Xylene,
,100-41-4,,
,,Ethylbenzene,
,,,false
,,,false
,100-41-4,,false
,,Ethylbenzene,false
,,,false
,100-41-4,,false
,,Ethylbenzene,false
,95-47-6,,
,,o-Xylene,
,,,false
,,,false
,95-47-6,,false
,,o-Xylene,false
,,,false
,95-47-6,,false
,,o-Xylene,false
,108-88-3,,
,,Toluene,
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,108-88-3,,
Louisiana,,Toluene,
Louisiana,108-88-3,,
Louisiana,,Toluene,
,71-43-2,,
,,Benzene,
,95-47-6,,
,,o-Xylene,
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,71-43-2,,
Louisiana,,Benzene,
Louisiana,71-43-2,,
Louisiana,,Benzene,
Louisiana,,,
Louisiana,95-47-6,,
Louisiana,,o-Xylene,
Louisiana,95-47-6,,
Louisiana,,o-Xylene,
,100-41-4,,
,,Ethylbenzene,
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,100-41-4,,
Louisiana,,Ethylbenzene,
Louisiana,100-41-4,,
Louisiana,,Ethylbenzene,
,100-41-4,,
,,Ethylbenzene,
,,,false
,,,false
,100-41-4,,false
,,Ethylbenzene,false
,,,false
,100-41-4,,false
,,Ethylbenzene,false
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,100-41-4,,
Louisiana,,Ethylbenzene,
Louisiana,100-41-4,,
Louisiana,,Ethylbenzene,
Louisiana,,,false
Louisiana,,,false
Louisiana,,,false
Louisiana,,,false
Louisiana,100-41-4,,false
Louisiana,,Ethylbenzene,false
Louisiana,,,false
Louisiana,100-41-4,,false
Louisiana,,Ethylbenzene,false
Louisiana,100-41-4,,false
Louisiana,100-41-4,,false
Louisiana,,Ethylbenzene,false
Louisiana,,Ethylbenzene,false
Louisiana,,,false
Louisiana,100-41-4,,false
Louisiana,,Ethylbenzene,false
Louisiana,100-41-4,,false
Louisiana,,Ethylbenzene,false
,95-47-6,,
,,o-Xylene,
,,,false
,,,false
,95-47-6,,false
,,o-Xylene,false
,,,false
,95-47-6,,false
,,o-Xylene,false
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,95-47-6,,
Louisiana,,o-Xylene,
Louisiana,95-47-6,,
Louisiana,,o-Xylene,
Louisiana,,,false
Louisiana,,,false
Louisiana,,,false
Louisiana,,,false
Louisiana,95-47-6,,false
Louisiana,,o-Xylene,false
Louisiana,,,false
Louisiana,95-47-6,,false
Louisiana,,o-Xylene,false
Louisiana,95-47-6,,false
Louisiana,95-47-6,,false
Louisiana,,o-Xylene,false
Louisiana,,o-Xylene,false
Louisiana,,,false
Louisiana,95-47-6,,false
Louisiana,,o-Xylene,false
Louisiana,95-47-6,,false
Louisiana,,o-Xylene,false
,EDF-213,,
,,PM2.5,
,179601-23-1,,
,,m p-Xylene,
,,,false
,,,false
,179601-23-1,,false
,,m p-Xylene,false
,,,false
,179601-23-1,,false
,,m p-Xylene,false
,71-43-2,,
,,Benzene,
,179601-23-1,,
,,m p-Xylene,
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,179601-23-1,,
Louisiana,,m p-Xylene,
Louisiana,179601-23-1,,
Louisiana,,m p-Xylene,
,EDF-213,,
,,PM2.5,
,,,true
,,,true
,EDF-213,,true
,,PM2.5,true
,,,true
,EDF-213,,true
,,PM2.5,true
,EDF-213,,
,,PM2.5,
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,EDF-213,,
Louisiana,,PM2.5,
Louisiana,EDF-213,,
Louisiana,,PM2.5,
,EDF-213,,
,,PM2.5,
,,,true
,,,true
,EDF-213,,true
,,PM2.5,true
,,,true
,EDF-213,,true
,,PM2.5,true
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,EDF-213,,
Louisiana,,PM2.5,
Louisiana,EDF-213,,
Louisiana,,PM2.5,
Louisiana,,,true
Louisiana,,,true
Louisiana,,,true
Louisiana,,,true
Louisiana,EDF-213,,true
Louisiana,,PM2.5,true
Louisiana,,,true
Louisiana,EDF-213,,true
Louisiana,,PM2.5,true
Louisiana,EDF-213,,true
Louisiana,EDF-213,,true
Louisiana,,PM2.5,true
Louisiana,,PM2.5,true
Louisiana,,,true
Louisiana,EDF-213,,true
Louisiana,,PM2.5,true
Louisiana,EDF-213,,true
Louisiana,,PM2.5,true
,71-43-2,,
,,Benzene,
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,71-43-2,,
Louisiana,,Benzene,
Louisiana,71-43-2,,
Louisiana,,Benzene,
,,,false
,,,false
,71-43-2,,false
,,Benzene,false
,,,false
,71-43-2,,false
,,Benzene,false
,179601-23-1,,
,,m p-Xylene,
,,,false
,,,false
,179601-23-1,,false
,,m p-Xylene,false
,,,false
,179601-23-1,,false
,,m p-Xylene,false
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,179601-23-1,,
Louisiana,,m p-Xylene,
Louisiana,179601-23-1,,
Louisiana,,m p-Xylene,
,108-88-3,,
,,Toluene,
,108-88-3,,
,,Toluene,
,108-88-3,,
,,Toluene,
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,108-88-3,,
Louisiana,,Toluene,
Louisiana,108-88-3,,
Louisiana,,Toluene,
,108-88-3,,
,,Toluene,
,71-43-2,,
,,Benzene,
,179601-23-1,,
,,m p-Xylene,
,207-08-9,,
,,Benzo[k]fluoranthene,
,91-20-3,,
,,Naphthalene,
,56-55-3,,
,,Benz[a]anthracene,
,91-20-3,,
,,Naphthalene,
,207-08-9,,
,,Benzo[k]fluoranthene,
,,,true
,,,true
,91-20-3,,true
,,Naphthalene,true
,,,true
,91-20-3,,true
,,Naphthalene,true
,,,false
,,,false
,207-08-9,,false
,,Benzo[k]fluoranthene,false
,,,false
,207-08-9,,false
,,Benzo[k]fluoranthene,false
,205-99-2,,
,,Benzo(b)fluoranthene,
,50-32-8,,
,,Benzo[a]pyrene,
,56-55-3,,
,,Benz[a]anthracene,
,,,false
,,,false
,56-55-3,,false
,,Benz[a]anthracene,false
,,,false
,56-55-3,,false
,,Benz[a]anthracene,false
,218-01-9,,
,,Chrysene,
,,,false
,53-70-3,,
,,Dibenz[a h]anthracene,
,,,false
,53-70-3,,
,53-70-3,,false
,,Dibenz[a h]anthracene,
,,Dibenz[a h]anthracene,false
,,,false
,53-70-3,,false
,,Dibenz[a h]anthracene,false
,193-39-5,,
,,Indeno[1 2 3-cd]pyrene,
,50-32-8,,
,,Benzo[a]pyrene,
,,,false
,,,false
,50-32-8,,false
,,Benzo[a]pyrene,false
,,,false
,50-32-8,,false
,,Benzo[a]pyrene,false
,205-99-2,,
,,Benzo(b)fluoranthene,
,,,false
,,,false
,205-99-2,,false
,,Benzo(b)fluoranthene,false
,,,false
,205-99-2,,false
,,Benzo(b)fluoranthene,false
,193-39-5,,
,,Indeno[1 2 3-cd]pyrene,
,,,false
,,,false
,193-39-5,,false
,,Indeno[1 2 3-cd]pyrene,false
,,,false
,193-39-5,,false
,,Indeno[1 2 3-cd]pyrene,false
,71-43-2,,
,,Benzene,
,218-01-9,,
,,Chrysene,
,,,false
,,,false
,218-01-9,,false
,,Chrysene,false
,,,false
,218-01-9,,false
,,Chrysene,false
,,,false
,56-55-3,,
,,Benz[a]anthracene,
,,,false
,56-55-3,,
,56-55-3,,false
,,Benz[a]anthracene,
,,Benz[a]anthracene,false
,,,false
,56-55-3,,false
,,Benz[a]anthracene,false
Louisiana,,,
Louisiana,,,
Louisiana,,,
Louisiana,56-55-3,,
Louisiana,,Benz[a]anthracene,
Louisiana,56-55-3,,
Louisiana,,Benz[a]anthracene,
Louisiana,,,
Louisiana,,,
Louisiana,,,false
Louisiana,,,false
Louisiana,,,
Louisiana,56-55-3,,
Louisiana,,Benz[a]anthracene,
Louisiana,56-55-3,,
Louisiana,,Benz[a]anthracene,
Louisiana,,,false
Louisiana,,,false
Louisiana,56-55-3,,false
Louisiana,,Benz[a]anthracene,false
Louisiana,,,false
Louisiana,56-55-3,,false
Louisiana,,Benz[a]anthracene,false
Louisiana,56-55-3,,false
Louisiana,56-55-3,,false
